id,name,model,dateOfCreation,color,price
0,Toyota,C-Class,2001-03-14,DarkOrange,65728.46
1,Honda,Silverado,1999-08-20,Ivory,17502.87
2,Mercedes-Benz,A4,1999-11-01,DarkOliveGreen,61254.22
3,Audi,Model S,2001-12-20,CadetBlue,21824.79
4,Audi,F-150,2011-10-04,Navy,21043.52
5,Ford,Civic,2016-02-06,Black,35078.95
6,Mercedes-Benz,Civic,2014-04-06,PaleVioletRed,28807.94
7,Honda,Golf,2005-01-08,GoldenRod,25158.54
8,Nissan,C-Class,2005-07-05,MediumSpringGreen,68494.59
9,Audi,Model S,2007-06-27,SkyBlue,5772.62
10,Audi,3 Series,2009-09-20,Olive,65666.62
11,Nissan,Civic,1999-07-24,Wheat,68620.29
12,Chevrolet,C-Class,2020-03-01,Azure,38193.18
13,Toyota,Altima,2001-11-15,SeaGreen,11797.98
14,Tesla,Golf,2008-08-30,DarkTurquoise,65080.66
15,Tesla,3 Series,1996-01-12,MediumAquaMarine,21837.58
16,BMW,C-Class,2008-05-18,Coral,46824.63
17,Nissan,A4,2018-12-06,SpringGreen,37607.3
18,Mercedes-Benz,C-Class,2015-04-03,MediumBlue,53405.76
19,Volkswagen,3 Series,2014-01-05,Orange,78706.84
20,Ford,3 Series,1999-10-16,DarkTurquoise,67226.08
21,Toyota,A4,2017-04-30,DarkSlateBlue,47297.08
22,BMW,F-150,2003-08-01,LightPink,24554.1
23,Honda,Golf,1998-11-19,DarkKhaki,74484.11
24,Nissan,Golf,1998-02-03,Violet,28951.96
25,Toyota,A4,1999-07-19,Plum,52602.83
26,Mercedes-Benz,C-Class,2021-08-23,DarkGray,77834.77
27,Nissan,Altima,2010-12-15,DarkCyan,44425.39
28,Audi,A4,2019-04-26,Maroon,8390.59
29,Honda,Civic,1995-12-21,Lavender,9109.36
30,Tesla,A4,2020-12-27,SaddleBrown,37298.78
31,Chevrolet,F-150,2021-04-12,MediumTurquoise,71975.77
32,Toyota,Civic,1996-02-22,Coral,46817.72
